DatasetName,Target,Pipeline,EvaluationMetric,Time,Size,Website
possum_belly,belly,"imp_null,OE,DS,nor_null,dup_null,out_null,RF_REG",9.847909523809523,0.1100726127624511,"(104, 14)",https
possum_totlngth,totlngth,"MEDIAN,nor_null,enc_nell,nor_null,dup_null,out_null,RF_REG",13.068599999999998,0.1250450611114502,"(104, 14)",https
possum_footlgth,footlgth,"MEAN,OE,IQR,ZS,dup_null,out_null,OLS",124.8094559640435,0.0360221862792968,"(104, 14)",https
Social_Network_Ads,Purchased,"OE,ZSB,nor_null,nor_null,dup_null,out_null,RF_REG",0.0916225,0.1539230346679687,"(400, 5)",https
Concrete_Data_Yeh,csMPa,"ZSB,enc_null,imp_null,nor_null,dup_null,out_null,RF_REG",3623.515810647512,0.3129987716674804,"(1030, 9)",https
insurance,charges,"OE,LOF,ZS,nor_null,dup_null,out_null,RF_REG",20954.47495923802,0.2829039096832275,"(1338, 7)",https
insurance_bmi,bmi,"OE,imp_null,ZS,nor_null,dup_null,out_null,OLS",15501.354790250823,0.0200023651123046,"(1338, 7)",https
CarPrice_Assignment,price,"OE,MR,MM,nor_null,dup_null,out_null,RF_REG",215.21894146341464,0.2099359035491943,"(205, 26)",https
boston,MEDV,"IQR,ED,MR,nor_null,dup_null,out_null,RF_REG",301.9374169491525,0.2179980278015136,"(506, 14)",https
framingham,TenYearCHD,"LOF,MF,ZS,nor_null,dup_null,out_null,OLS",0.0946101224300735,0.1299941539764404,"(4238, 16)",https
framingham_heartRate,heartRate,"LOF,MF,nor_null,nor_null,dup_null,out_null,OLS",123.06468254091632,0.0909211635589599,"(4238, 16)",https
kc_house_data,price,"IQR,DS,fea_null,nor_null,dup_null,out_null,RF_REG",94328.66048596195,9.787004947662354,"(21613, 21)",https
winequality_red,quality,"ZS,fea_null,enc_null,nor_null,dup_null,out_null,RF_REG",0.314711875,0.5579824447631836,"(1599, 12)",https
Acoustic,STATUS,"OE,ZS,MM,nor_null,dup_null,out_null,RF_REG",0.0197481799942677,1.2440171241760254,"(17442, 7)",https
Bank_Personal_Loan_Modelling,CreditCard,"IQR,AD,ZS,nor_null,dup_null,out_null,OLS",0.1803476749934746,9.531173944473268,"(5000, 14)",https
Banking Dataset Classification,y,"IQR,LC,ZS,imp_null,dup_null,out_null,OLS",0.052455144283826,0.081003189086914,"(32950, 16)",https
bmi,Index,"OE,ZS,fea_null,imp_null,dup_null,out_null,RF_REG",0.080846,0.1110117435455322,"(500, 4)",https
bodyPerformance,class,"OE,LOF,fea_null,imp_null,dup_null,out_null,RF_REG",0.3241676683149486,7.944185256958008,"(13393, 12)",https
Linear_Regression_test,y,"ED,fea_null,MM,imp_null,dup_null,out_null,OLS",78.56962268334675,0.0149025917053222,"(300, 2)",https
Breast Cancer Prediction,Class,"IQR,ZS,enc_null,imp_null,dup_null,out_null,RF_REG",0.0168082568807339,0.2110440731048584,"(683, 11)",https
Breast Cancer Prediction_NN,Normal Nucleoli,"imp_null,IQR,ZS,imp_null,dup_null,out_null,OLS",1.650288198276337,0.033074140548706,"(683, 11)",https
car_data,Purchased,"OE,ZS,fea_null,imp_null,dup_null,out_null,RF_REG",0.0750775,0.1749980449676513,"(1000, 5)",https
card_transdata,fraud,"ZS,LOF,fea_null,imp_null,dup_null,out_null,RF_REG",0.002770784696174,415.0465352535248,"(1000000, 8)",https
cirrhosis,Stage,"MEDIAN,OE,fea_null,imp_null,dup_null,out_null,RF_REG",0.446690625,0.3039956092834472,"(418, 20)",https
