0,1,2,3,4,5,6
891,247.75,0.416666657,0.166666672,0.016554432,0.619682491,4.674246311
303,28.5714283,0,0,0,0.3655487,0.106976688
5110,802.833313,0.416666657,0.083333336,0.003277886,1.053489804,2.565570354
615,249.8571472,0.142857149,0.071428575,0.003600464,3.273256063,39.53497314
918,44.16666794,0.416666657,0,0,0.060771972,-0.187610582
100000,52801.77734,0.055555556,0.055555556,0,-52.08705139,16531.24414
17442,36,0.142857149,0,0,0.142466024,-1.172814131
145460,350,0.304347813,0,0.093137823,0.781492412,9.519240379
2000,249.5238037,0,0,0,0.060191438,-1.224647284
3276,2805.5,0,0.600000024,0.043772895,0.120983735,0.116229855
215,58.20000076,0.533333361,0.06666667,0.020775193,0.280403554,0.232305527
319795,207.6666718,0.777777791,0,0,1.613833904,5.086988449
17880,3851.277832,0.722222209,0.055555556,0,0.10766387,1.476902604
6819,4728.21875,0,0.260416657,0,9.30688858,1312.55481
150,25.20000076,0.200000003,0,0,0.053900551,-0.902618587
103904,8507.240234,0.200000003,0.079999998,0.000119341,0.524682283,6.986422062
1143,190.6923065,0,0.07692308,0,1.487923503,7.460064411
11162,348.7058716,0.588235319,0,0,2.135874033,21.30196953
41188,102.0476227,0.523809552,0,0,0.495827585,4.630690098
10999,1278.916626,0.333333343,0.083333336,0,0.100295663,-0.445992142
161297,40275,0.571428597,0.142857149,0,0.655057728,8.159602165
569,412,0,0,0,0.692845643,0.892920196
200,44.5,0.666666687,0,0,0.273704499,-1.302540183
6497,205.1538391,0.07692308,0,0.000449912,1.077720404,6.753901005
2240,248.620697,0.103448279,0.034482758,0.000369458,2.044702053,14.12511253
240,130.2857208,0.285714298,0,0,0.621194482,0.341263711
10000,2847.785645,0.214285716,0.142857149,0,0.168787926,-0.873274148
5000,442.3571472,0,0.071428575,0,0.135972708,36.14115524
90836,24112.80078,0.200000003,0,0,8.707779884,803.8143311
32561,1476.400024,0.600000024,0,0,0.804762781,13.33263683
45211,561.3529663,0.588235319,0,0,4.210106373,280.1611633
13393,336.4166565,0.166666672,0,0,0.023374341,2.564869404
1080,1010.707336,0.060975611,0.280487806,0.015763326,0.740776598,4.159952164
989,338.75,0.625,0,0,0.019439846,-0.694370687
62630,12328.375,0,0.125,0,4.812625885,84.9263916
1470,157.3142853,0.257142872,0.028571429,0,0.415826946,-0.009963999
119390,9372.527344,0.444444448,0.027777778,0.029999021,4.016030788,161.4666748
113,8.611110687,0.055555556,0.055555556,0,0.497366279,-0.032575052
3333,497.2000122,0.150000006,0,0,0.493346989,0.552823246
4981,396.4545593,0.454545468,0,0,1.167441845,2.502254486
4024,24.0625,0.6875,0,0,-0.153173208,4.40458107
539383,60904.22266,0.333333343,0.111111112,0,0.256184101,-0.727402687
1895,57.73529434,0.05882353,0.029411765,0,4.288556576,23.27809334
63326,265.2727356,0.636363626,0,0,2.880742073,108.4052048
2000,1600,0,0.600000024,0.0003,0.466483414,0.010192871
100000,18018.57227,0.714285731,0.071428575,0.006059643,1.667370915,15.1070509
2000,137.8888855,0,0,0,0.562159121,2.221150637
122410,163.7113342,0.020618556,0,0,24.82571602,4777.139648
418,135.75,0.349999994,0.050000001,0.072846897,1.261688471,3.379037857
1000000,375001.25,0,0.375,0,19.78594589,6094.043457
1987,204.8000031,0.400000006,0.100000001,0,0.254342407,-0.475578219
219,6.823529243,0.470588237,0,0,-0.20955947,-0.450461596
5960,1631.076904,0.15384616,0,0.061177079,2.178364038,13.02533627
12528,9558.555664,0,0.111111112,0.031378601,2.123589039,9.717803001
8068,744.9091187,0.636363626,0.090909094,0.013115788,0.082560651,-0.671529353
54808,3929.928467,0.357142866,0.071428575,0.005374606,1.167238832,4.206077099
32561,1476.400024,0.600000024,0,0,0.804762781,13.33263683
43957,1810.199951,0.533333361,0,0,0.881232202,13.29917908
50005,10470.66699,0.388888896,0,6.11e-05,0.380014032,6.324061871
100000,50537.39063,0.055555556,0.055555556,0,0.533488929,2.049994469
1429,308,0,0.043478262,0.000608513,0.897940278,1.443057179
1676,163.0857086,0.257142872,0.028571429,0,0.443106472,0.055673044
1000,150.8181763,0.454545468,0,0,-0.021789044,-1.106899738
3333,363.7272644,0,0,0,0.266894519,0.819623053
6362619.5,2371995.25,0.272727281,0,0,67.35055542,36554.58594
1000,259.3999939,0.200000003,0.200000003,0,0.202281192,-1.235203862
145,8.151515007,0.030303031,0.030303031,0,0.538058698,0.140823528
