DatasetName,Target,Pipeline,EvaluationMetric,Time,Size,Website
WinequalityN,quality,"MF,BE,out_null,nor_null,fea_null,dup_null,RF",0.672307692,0.829933643,"(6497, 13)",https://www.kaggle.com/code/mgmarques/wines-type-and-quality-classification-exercises
MarketingCampaign,Response,"imp_null,enc_null,out_null,nor_null,fea_null,dup_null,RF",0.873303167,0.500210047,"(2240, 29)",https://www.kaggle.com/code/mgmarques/wines-type-and-quality-classification-exercises
MarketingCampaign,Response,"BE,imp_null,out_null,nor_null,fea_null,dup_null,LDA",0.874641951,0.149795055,"(2240, 29)",https://www.kaggle.com/code/mgmarques/wines-type-and-quality-classification-exercises
MarketingCampaign,Response,"OE,imp_null,out_null,nor_null,fea_null,dup_null,RF",0.896162528,0.23039794,"(2240, 29)",https://www.kaggle.com/code/mgmarques/wines-type-and-quality-classification-exercises
MarketingCampaign,Response,"MF,OE,out_null,nor_null,fea_null,dup_null,RF",0.888392857,0.399767876,"(2240, 29)",https://www.kaggle.com/code/parvathicg/marketing-campeign
MarketingCampaign,Response,"OE,ZS,imp_null,out_null,fea_null,dup_null,RF",0.866213152,0.258747339,"(2240, 29)",https://www.kaggle.com/code/parvathicg/marketing-campeign
MarketingCampaign,Response,"OE,MM,imp_null,out_null,fea_null,dup_null,RF",0.891891892,0.249825239,"(2240, 29)",https://www.kaggle.com/code/parvathicg/marketing-campeign
MarketingCampaign,Response,"OE,MM,imp_null,out_null,fea_null,dup_null,LDA",0.887133183,0.039895535,"(2240, 29)",https://www.kaggle.com/code/parvathicg/marketing-campeign
MarketingCampaign,Response,"OE,ZS,imp_null,out_null,fea_null,dup_null,LDA",0.87740113,0.04992795,"(2240, 29)",https://www.kaggle.com/code/parvathicg/marketing-campeign
MarketingCampaign,Response,"LC,OE,ZS,imp_null,out_null,dup_null,LDA",0.867041577,0.329819441,"(2240, 29)",https://www.kaggle.com/code/parvathicg/marketing-campeign
MarketingCampaign,Response,"ED,OE,ZS,imp_null,out_null,fea_null,LDA",0.88162345,0.069801331,"(2240, 29)",https://www.kaggle.com/code/parvathicg/marketing-campeign
