iter	MultiClass
279	0.7118735123
280	0.7118646783
281	0.7118559214
282	0.7118472405
283	0.7118386347
284	0.711830103
285	0.7118216446
286	0.7118132584
287	0.7118049436
288	0.7117966994
289	0.7117885247
290	0.7117804189
291	0.7117723809
292	0.71176441
293	0.7117565054
294	0.7117486662
295	0.7117408917
296	0.7117331811
297	0.7117255336
298	0.7117179485
299	0.7117104249
300	0.7117029623
301	0.7116955598
302	0.7116882167
303	0.7116809324
304	0.7116737062
305	0.7116665373
306	0.7116594251
307	0.711652369
308	0.7116453683
309	0.7116384224
310	0.7116315306
311	0.7116246923
312	0.7116179069
313	0.7116111739
314	0.7116044926
315	0.7115978624
316	0.7115912827
317	0.7115847531
318	0.7115782729
319	0.7115718416
320	0.7115654586
321	0.7115591235
322	0.7115528356
323	0.7115465946
324	0.7115403997
325	0.7115342507
326	0.7115281469
327	0.7115220878
328	0.7115160731
329	0.7115101021
330	0.7115041746
331	0.7114982899
332	0.7114924476
333	0.7114866473
334	0.7114808885
335	0.7114751708
336	0.7114694938
337	0.7114638571
338	0.7114582601
339	0.7114527026
340	0.7114471841
341	0.7114417042
342	0.7114362624
343	0.7114308585
344	0.711425492
345	0.7114201626
346	0.7114148698
347	0.7114096133
348	0.7114043928
349	0.7113992078
350	0.711394058
351	0.7113889431
352	0.7113838627
353	0.7113788165
354	0.7113738041
355	0.7113688252
356	0.7113638794
357	0.7113589666
358	0.7113540862
359	0.711349238
360	0.7113444218
361	0.7113396371
362	0.7113348837
363	0.7113301613
364	0.7113254696
365	0.7113208082
366	0.711316177
367	0.7113115756
368	0.7113070037
369	0.711302461
370	0.7112979473
371	0.7112934624
372	0.7112890058
373	0.7112845775
374	0.711280177
375	0.7112758042
376	0.7112714588
377	0.7112671405
378	0.7112628491
379	0.7112585844
380	0.711254346
381	0.7112501338
382	0.7112459476
383	0.711241787
384	0.7112376518
385	0.7112335419
386	0.711229457
387	0.7112253969
388	0.7112213613
389	0.71121735
390	0.7112133629
391	0.7112093996
392	0.7112054601
393	0.711201544
394	0.7111976512
395	0.7111937815
396	0.7111899347
397	0.7111861105
398	0.7111823088
399	0.7111785294
400	0.711174772
401	0.7111710366
402	0.7111673229
403	0.7111636307
404	0.7111599598
405	0.7111563101
406	0.7111526813
407	0.7111490734
408	0.7111454861
409	0.7111419192
410	0.7111383726
411	0.7111348461
412	0.7111313396
413	0.7111278528
414	0.7111243856
415	0.7111209379
416	0.7111175094
417	0.7111141001
418	0.7111107098
419	0.7111073382
420	0.7111039853
421	0.711100651
422	0.7110973349
423	0.7110940371
424	0.7110907573
425	0.7110874955
426	0.7110842514
427	0.7110810249
428	0.711077816
429	0.7110746243
430	0.7110714499
431	0.7110682925
432	0.7110651521
433	0.7110620285
434	0.7110589215
435	0.711055831
436	0.711052757
437	0.7110496993
438	0.7110466576
439	0.711043632
440	0.7110406224
441	0.7110376284
442	0.7110346502
443	0.7110316874
444	0.7110287401
445	0.7110258081
446	0.7110228912
447	0.7110199894
448	0.7110171025
449	0.7110142305
450	0.7110113732
451	0.7110085305
452	0.7110057023
453	0.7110028885
454	0.7110000889
455	0.7109973036
456	0.7109945323
457	0.7109917749
458	0.7109890314
459	0.7109863017
460	0.7109835856
461	0.7109808831
462	0.710978194
463	0.7109755182
464	0.7109728558
465	0.7109702064
466	0.7109675702
467	0.7109649469
468	0.7109623365
469	0.7109597388
470	0.7109571539
471	0.7109545815
472	0.7109520216
473	0.7109494742
474	0.710946939
475	0.7109444161
476	0.7109419054
477	0.7109394067
478	0.71093692
479	0.7109344452
480	0.7109319822
481	0.7109295309
482	0.7109270912
483	0.7109246631
484	0.7109222465
485	0.7109198413
486	0.7109174474
487	0.7109150648
488	0.7109126933
489	0.7109103328
490	0.7109079834
491	0.710905645
492	0.7109033174
493	0.7109010005
494	0.7108986944
495	0.7108963989
496	0.710894114
497	0.7108918395
498	0.7108895755
499	0.7108873218
500	0.7108850784
501	0.7108828452
502	0.7108806222
503	0.7108784092
504	0.7108762062
505	0.7108740132
506	0.71087183
507	0.7108696567
508	0.710867493
509	0.7108653391
510	0.7108631947
511	0.7108610599
512	0.7108589346
513	0.7108568188
514	0.7108547122
515	0.710852615
516	0.710850527
517	0.7108484482
518	0.7108463785
519	0.7108443179
520	0.7108422662
521	0.7108402236
522	0.7108381897
523	0.7108361648
524	0.7108341486
525	0.7108321411
526	0.7108301422
527	0.710828152
528	0.7108261703
529	0.7108241971
530	0.7108222323
531	0.710820276
532	0.7108183279
533	0.7108163882
534	0.7108144566
535	0.7108125333
536	0.7108106181
537	0.7108087109
538	0.7108068118
539	0.7108049206
540	0.7108030374
541	0.710801162
542	0.7107992945
543	0.7107974348
544	0.7107955827
545	0.7107937384
546	0.7107919017
547	0.7107900726
548	0.710788251
549	0.7107864369
550	0.7107846303
551	0.7107828311
552	0.7107810392
553	0.7107792547
554	0.7107774774
555	0.7107757073
556	0.7107739444
557	0.7107721887
558	0.7107704401
559	0.7107686985
560	0.7107669639
561	0.7107652363
562	0.7107635157
563	0.7107618019
564	0.710760095
565	0.7107583948
566	0.7107567015
567	0.7107550148
568	0.7107533349
569	0.7107516616
570	0.7107499949
571	0.7107483348
572	0.7107466812
573	0.7107450341
574	0.7107433934
575	0.7107417592
576	0.7107401313
577	0.7107385098
578	0.7107368946
579	0.7107352857
580	0.710733683
581	0.7107320865
582	0.7107304962
583	0.710728912
584	0.7107273339
585	0.7107257618
586	0.7107241958
587	0.7107226357
588	0.7107210816
589	0.7107195335
590	0.7107179912
591	0.7107164548
592	0.7107149242
593	0.7107133994
594	0.7107118803
595	0.710710367
596	0.7107088593
597	0.7107073573
598	0.710705861
599	0.7107043702
600	0.7107028851
601	0.7107014054
602	0.7106999313
603	0.7106984626
604	0.7106969994
605	0.7106955415
606	0.7106940891
607	0.710692642
608	0.7106912003
609	0.7106897638
610	0.7106883327
611	0.7106869067
612	0.710685486
613	0.7106840704
614	0.71068266
615	0.7106812548
616	0.7106798546
617	0.7106784595
618	0.7106770694
619	0.7106756844
620	0.7106743043
621	0.7106729293
622	0.7106715591
623	0.7106701939
624	0.7106688335
625	0.710667478
626	0.7106661274
627	0.7106647815
628	0.7106634404
629	0.7106621041
630	0.7106607725
631	0.7106594457
632	0.7106581235
633	0.7106568059
634	0.710655493
635	0.7106541847
636	0.710652881
637	0.7106515819
638	0.7106502873
639	0.7106489972
640	0.7106477116
641	0.7106464304
642	0.7106451537
643	0.7106438814
644	0.7106426136
645	0.7106413501
646	0.7106400909
647	0.7106388361
648	0.7106375856
649	0.7106363394
650	0.7106350974
651	0.7106338597
652	0.7106326262
653	0.7106313969
654	0.7106301718
655	0.7106289509
656	0.7106277341
657	0.7106265214
658	0.7106253128
659	0.7106241082
660	0.7106229078
661	0.7106217113
662	0.7106205189
663	0.7106193305
664	0.710618146
665	0.7106169655
666	0.710615789
667	0.7106146163
668	0.7106134476
669	0.7106122827
670	0.7106111217
671	0.7106099645
672	0.7106088112
673	0.7106076616
674	0.7106065158
675	0.7106053738
676	0.7106042356
677	0.710603101
678	0.7106019702
679	0.7106008431
680	0.7105997196
681	0.7105985998
682	0.7105974836
683	0.7105963711
684	0.7105952622
685	0.7105941568
686	0.710593055
687	0.7105919568
688	0.7105908621
689	0.7105897709
690	0.7105886832
691	0.710587599
692	0.7105865183
693	0.710585441
694	0.7105843671
695	0.7105832967
696	0.7105822297
697	0.710581166
698	0.7105801058
699	0.7105790489
700	0.7105779953
701	0.710576945
702	0.7105758981
703	0.7105748544
704	0.710573814
705	0.7105727769
706	0.710571743
707	0.7105707124
708	0.710569685
709	0.7105686608
710	0.7105676397
711	0.7105666218
712	0.7105656071
713	0.7105645956
714	0.7105635871
715	0.7105625818
716	0.7105615796
717	0.7105605804
718	0.7105595843
719	0.7105585913
720	0.7105576013
721	0.7105566144
722	0.7105556305
723	0.7105546495
724	0.7105536716
725	0.7105526966
726	0.7105517246
727	0.7105507555
728	0.7105497894
729	0.7105488262
730	0.7105478659
731	0.7105469085
732	0.710545954
733	0.7105450023
734	0.7105440535
735	0.7105431076
736	0.7105421645
737	0.7105412241
738	0.7105402866
739	0.7105393519
740	0.71053842
741	0.7105374908
742	0.7105365644
743	0.7105356408
744	0.7105347199
745	0.7105338016
746	0.7105328861
747	0.7105319733
748	0.7105310632
749	0.7105301558
750	0.710529251
751	0.7105283488
752	0.7105274493
753	0.7105265525
754	0.7105256582
755	0.7105247666
756	0.7105238775
757	0.710522991
758	0.7105221071
759	0.7105212257
760	0.7105203469
761	0.7105194707
762	0.7105185969
763	0.7105177257
764	0.710516857
765	0.7105159907
766	0.710515127
767	0.7105142657
768	0.7105134069
769	0.7105125505
770	0.7105116966
771	0.7105108451
772	0.710509996
773	0.7105091494
774	0.7105083051
775	0.7105074632
776	0.7105066237
777	0.7105057866
778	0.7105049519
779	0.7105041194
780	0.7105032894
781	0.7105024616
782	0.7105016362
783	0.7105008131
784	0.7104999923
785	0.7104991737
786	0.7104983575
787	0.7104975435
788	0.7104967318
789	0.7104959224
790	0.7104951152
791	0.7104943102
792	0.7104935075
793	0.7104927069
794	0.7104919086
795	0.7104911125
796	0.7104903186
797	0.7104895268
798	0.7104887372
799	0.7104879498
800	0.7104871646
801	0.7104863814
802	0.7104856005
803	0.7104848216
804	0.7104840449
805	0.7104832702
806	0.7104824977
807	0.7104817273
808	0.710480959
809	0.7104801927
810	0.7104794285
811	0.7104786664
812	0.7104779063
813	0.7104771482
814	0.7104763922
815	0.7104756382
816	0.7104748863
817	0.7104741363
818	0.7104733884
819	0.7104726424
820	0.7104718985
821	0.7104711565
822	0.7104704165
823	0.7104696784
824	0.7104689423
825	0.7104682082
826	0.710467476
827	0.7104667457
828	0.7104660174
829	0.710465291
830	0.7104645664
831	0.7104638438
832	0.7104631231
833	0.7104624043
834	0.7104616873
835	0.7104609723
836	0.7104602591
837	0.7104595477
838	0.7104588382
839	0.7104581305
840	0.7104574247
841	0.7104567207
842	0.7104560186
843	0.7104553182
844	0.7104546197
845	0.7104539229
846	0.710453228
847	0.7104525348
848	0.7104518435
849	0.7104511539
850	0.710450466
851	0.71044978
852	0.7104490957
853	0.7104484131
854	0.7104477323
855	0.7104470532
856	0.7104463758
857	0.7104457002
858	0.7104450262
859	0.710444354
860	0.7104436835
861	0.7104430147
862	0.7104423475
863	0.7104416821
864	0.7104410183
865	0.7104403562
866	0.7104396958
867	0.710439037
868	0.7104383799
869	0.7104377244
870	0.7104370705
871	0.7104364183
872	0.7104357677
873	0.7104351188
874	0.7104344714
875	0.7104338257
876	0.7104331815
877	0.710432539
878	0.710431898
879	0.7104312587
880	0.7104306209
881	0.7104299847
882	0.71042935
883	0.7104287169
884	0.7104280854
885	0.7104274554
886	0.710426827
887	0.7104262001
888	0.7104255748
889	0.7104249509
890	0.7104243286
891	0.7104237078
892	0.7104230885
893	0.7104224708
894	0.7104218545
895	0.7104212397
896	0.7104206264
897	0.7104200146
898	0.7104194043
899	0.7104187955
900	0.7104181881
901	0.7104175822
902	0.7104169777
903	0.7104163747
904	0.7104157731
905	0.710415173
906	0.7104145743
907	0.7104139771
908	0.7104133812
909	0.7104127868
910	0.7104121939
911	0.7104116023
912	0.7104110121
913	0.7104104234
914	0.710409836
915	0.71040925
916	0.7104086654
917	0.7104080822
918	0.7104075004
919	0.7104069199
920	0.7104063408
921	0.7104057631
922	0.7104051867
923	0.7104046117
924	0.710404038
925	0.7104034657
926	0.7104028947
927	0.7104023251
928	0.7104017568
929	0.7104011898
930	0.7104006241
931	0.7104000597
932	0.7103994967
933	0.7103989349
934	0.7103983745
935	0.7103978154
936	0.7103972575
937	0.7103967009
938	0.7103961457
939	0.7103955917
940	0.710395039
941	0.7103944875
942	0.7103939373
943	0.7103933884
944	0.7103928407
945	0.7103922943
946	0.7103917492
947	0.7103912053
948	0.7103906626
949	0.7103901212
950	0.710389581
951	0.710389042
952	0.7103885042
953	0.7103879677
954	0.7103874324
955	0.7103868983
956	0.7103863654
957	0.7103858337
958	0.7103853032
959	0.7103847739
960	0.7103842458
961	0.7103837189
962	0.7103831932
963	0.7103826686
964	0.7103821453
965	0.7103816231
966	0.710381102
967	0.7103805821
968	0.7103800634
969	0.7103795459
970	0.7103790295
971	0.7103785142
972	0.7103780001
973	0.7103774872
974	0.7103769753
975	0.7103764646
976	0.7103759551
977	0.7103754466
978	0.7103749393
979	0.7103744331
980	0.710373928
981	0.710373424
982	0.7103729212
983	0.7103724194
984	0.7103719188
985	0.7103714192
986	0.7103709207
987	0.7103704233
988	0.710369927
989	0.7103694318
990	0.7103689377
991	0.7103684446
992	0.7103679527
993	0.7103674617
994	0.7103669719
995	0.7103664831
996	0.7103659954
997	0.7103655087
998	0.7103650231
999	0.7103645385
